difficulty_level,level_name,feature_type,model,seed,fold,auc,mean_neg_dist_bio,n_unique_negatives,n_sampled,replacement_used,is_anchor
3,easy,biophysical,lr,2,1,0.8194486278447122,3.371902,4891,2445,False,False
3,easy,biophysical,lr,2,2,0.8174389427902309,3.371902,4891,2445,False,False
3,easy,biophysical,lr,2,3,0.8201373151084321,3.371902,4891,2445,False,False
3,easy,biophysical,lr,2,4,0.7793671706715184,3.371902,4891,2445,False,False
3,easy,biophysical,rf,2,0,0.9086931949008853,3.371902,4891,2445,False,False
3,easy,biophysical,rf,2,1,0.8785433400267739,3.371902,4891,2445,False,False
3,easy,biophysical,rf,2,2,0.8789603546336567,3.371902,4891,2445,False,False
3,easy,biophysical,rf,2,3,0.8797215159118804,3.371902,4891,2445,False,False
3,easy,biophysical,rf,2,4,0.8358408097538532,3.371902,4891,2445,False,False
3,easy,sequence,lr,2,0,0.7626818495803069,3.371902,4891,2445,False,False
3,easy,sequence,lr,2,1,0.7475736278447122,3.371902,4891,2445,False,False
3,easy,sequence,lr,2,2,0.7554909668785548,3.371902,4891,2445,False,False
3,easy,sequence,lr,2,3,0.7353186355620159,3.371902,4891,2445,False,False
3,easy,sequence,lr,2,4,0.6952339126252169,3.371902,4891,2445,False,False
3,easy,sequence,rf,2,0,0.9081615138258012,3.371902,4891,2445,False,False
3,easy,sequence,rf,2,1,0.8710257697456492,3.371902,4891,2445,False,False
3,easy,sequence,rf,2,2,0.8661299765807963,3.371902,4891,2445,False,False
3,easy,sequence,rf,2,3,0.8739700319619974,3.371902,4891,2445,False,False
3,easy,sequence,rf,2,4,0.8447163142815317,3.371902,4891,2445,False,False
3,easy,biophysical,lr,3,0,0.8610403965967708,3.371902,4891,2445,False,False
3,easy,biophysical,lr,3,1,0.8472614283145352,3.371902,4891,2445,False,False
3,easy,biophysical,lr,3,2,0.8193022516644919,3.371902,4891,2445,False,False
3,easy,biophysical,lr,3,3,0.8263482570418853,3.371902,4891,2445,False,False
3,easy,biophysical,lr,3,4,0.7809439337966121,3.371902,4891,2445,False,False
3,easy,biophysical,rf,3,0,0.9053518791451732,3.371902,4891,2445,False,False
3,easy,biophysical,rf,3,1,0.8923264790629013,3.371902,4891,2445,False,False
3,easy,biophysical,rf,3,2,0.8771036167151796,3.371902,4891,2445,False,False
3,easy,biophysical,rf,3,3,0.8867610464022082,3.371902,4891,2445,False,False
3,easy,biophysical,rf,3,4,0.8229486112098937,3.371902,4891,2445,False,False
3,easy,sequence,lr,3,0,0.7814112011790715,3.371902,4891,2445,False,False
3,easy,sequence,lr,3,1,0.7673730036257793,3.371902,4891,2445,False,False
3,easy,sequence,lr,3,2,0.742258857773763,3.371902,4891,2445,False,False
3,easy,sequence,lr,3,3,0.7580268083059745,3.371902,4891,2445,False,False
3,easy,sequence,lr,3,4,0.7052476560636931,3.371902,4891,2445,False,False
3,easy,sequence,rf,3,0,0.8853461847658606,3.371902,4891,2445,False,False
3,easy,sequence,rf,3,1,0.8823357212457291,3.371902,4891,2445,False,False
3,easy,sequence,rf,3,2,0.8762337314731172,3.371902,4891,2445,False,False
3,easy,sequence,rf,3,3,0.8853181656594383,3.371902,4891,2445,False,False
3,easy,sequence,rf,3,4,0.82658845875467,3.371902,4891,2445,False,False
3,easy,biophysical,lr,4,0,0.825364382643659,3.371902,4891,2445,False,False
3,easy,biophysical,lr,4,1,0.8335780161867118,3.371902,4891,2445,False,False
3,easy,biophysical,lr,4,2,0.8102254846161572,3.371902,4891,2445,False,False
3,easy,biophysical,lr,4,3,0.7931185962739675,3.371902,4891,2445,False,False
3,easy,biophysical,lr,4,4,0.8594788325380464,3.371902,4891,2445,False,False
3,easy,biophysical,rf,4,0,0.8722189646506953,3.371902,4891,2445,False,False
3,easy,biophysical,rf,4,1,0.8806826024217328,3.371902,4891,2445,False,False
3,easy,biophysical,rf,4,2,0.8631147678194784,3.371902,4891,2445,False,False
3,easy,biophysical,rf,4,3,0.856221838248522,3.371902,4891,2445,False,False
3,easy,biophysical,rf,4,4,0.9070078664419512,3.371902,4891,2445,False,False
3,easy,sequence,lr,4,0,0.7430934829954767,3.371902,4891,2445,False,False
3,easy,sequence,lr,4,1,0.7891001108392413,3.371902,4891,2445,False,False
3,easy,sequence,lr,4,2,0.7399435869965516,3.371902,4891,2445,False,False
3,easy,sequence,lr,4,3,0.731253739211199,3.371902,4891,2445,False,False
3,easy,sequence,lr,4,4,0.7613385915681445,3.371902,4891,2445,False,False
3,easy,sequence,rf,4,0,0.8657982911710504,3.371902,4891,2445,False,False
3,easy,sequence,rf,4,1,0.8851998243302591,3.371902,4891,2445,False,False
3,easy,sequence,rf,4,2,0.8600137266061803,3.371902,4891,2445,False,False
3,easy,sequence,rf,4,3,0.850502675497132,3.371902,4891,2445,False,False
3,easy,sequence,rf,4,4,0.8909780567671893,3.371902,4891,2445,False,False
4,moderate_easy,biophysical,lr,0,0,0.7959850274983794,2.6691258,4890,2445,False,False
4,moderate_easy,biophysical,lr,0,1,0.7927688672340604,2.6691258,4890,2445,False,False
4,moderate_easy,biophysical,lr,0,2,0.7799863665067728,2.6691258,4890,2445,False,False
4,moderate_easy,biophysical,lr,0,3,0.7999205303553129,2.6691258,4890,2445,False,False
4,moderate_easy,biophysical,lr,0,4,0.7370736705631417,2.6691258,4890,2445,False,False
4,moderate_easy,biophysical,rf,0,0,0.8627757679680476,2.6691258,4890,2445,False,False
4,moderate_easy,biophysical,rf,0,1,0.8506764810438927,2.6691258,4890,2445,False,False
4,moderate_easy,biophysical,rf,0,2,0.8439508692397446,2.6691258,4890,2445,False,False
4,moderate_easy,biophysical,rf,0,3,0.8665370056674404,2.6691258,4890,2445,False,False
4,moderate_easy,biophysical,rf,0,4,0.7977081198636582,2.6691258,4890,2445,False,False
4,moderate_easy,sequence,lr,0,0,0.6838627381276009,2.6691258,4890,2445,False,False
4,moderate_easy,sequence,lr,0,1,0.6775182451224357,2.6691258,4890,2445,False,False
4,moderate_easy,sequence,lr,0,2,0.6719346596017848,2.6691258,4890,2445,False,False
4,moderate_easy,sequence,lr,0,3,0.6787460526590962,2.6691258,4890,2445,False,False
4,moderate_easy,sequence,lr,0,4,0.6433742498065703,2.6691258,4890,2445,False,False
4,moderate_easy,sequence,rf,0,0,0.8569958804709228,2.6691258,4890,2445,False,False
4,moderate_easy,sequence,rf,0,1,0.8590535538780033,2.6691258,4890,2445,False,False
4,moderate_easy,sequence,rf,0,2,0.8466942960977263,2.6691258,4890,2445,False,False
4,moderate_easy,sequence,rf,0,3,0.8586318673275195,2.6691258,4890,2445,False,False
4,moderate_easy,sequence,rf,0,4,0.8006733443466261,2.6691258,4890,2445,False,False
4,moderate_easy,biophysical,lr,1,0,0.8245190699230511,2.6691258,4890,2445,False,False
4,moderate_easy,biophysical,lr,1,1,0.7703912834347617,2.6691258,4890,2445,False,False
4,moderate_easy,biophysical,lr,1,2,0.766715456674473,2.6691258,4890,2445,False,False
